setNumber,name,year,numParts,imageUrl,inventoryId
4617-1,Dual Turbo Prop,2002,32,https://cdn.rebrickable.com/media/sets/4617-1.jpg,19027
4618-1,Twin Rotor Cargo,2002,47,https://cdn.rebrickable.com/media/sets/4618-1.jpg,489
4619-1,A.I.R. Patrol Jet,2002,66,https://cdn.rebrickable.com/media/sets/4619-1.jpg,10206
4620-1,A.I.R. Operations HQ,2002,175,https://cdn.rebrickable.com/media/sets/4620-1.jpg,3022
462-1,Rocket Launcher,1979,77,https://cdn.rebrickable.com/media/sets/462-1.jpg,10230
4621-1,Jack Stone Red Flash Station,2002,32,https://cdn.rebrickable.com/media/sets/4621-1.jpg,11830
462-2,"2 x 8 Plates, White",1966,16,https://cdn.rebrickable.com/media/sets/462-2.jpg,1921
4622058-1,Atlantis: The Movie (DVD),2010,0,https://cdn.rebrickable.com/media/sets/4622058-1.jpg,75873
4622-1,Res-Q Digger,2002,67,https://cdn.rebrickable.com/media/sets/4622-1.jpg,4550
4623-1,Pink Brick Box,2012,30,https://cdn.rebrickable.com/media/sets/4623-1.jpg,12326
4624-1,Brick Box,2012,31,https://cdn.rebrickable.com/media/sets/4624-1.jpg,15896
4625-1,Pink Brick Box,2012,224,https://cdn.rebrickable.com/media/sets/4625-1.jpg,4844
4626-1,Farm Brick Box,2012,232,https://cdn.rebrickable.com/media/sets/4626-1.jpg,10370
4627-1,Fun With Bricks,2012,85,https://cdn.rebrickable.com/media/sets/4627-1.jpg,14723
4628-1,Fun with Bricks,2012,600,https://cdn.rebrickable.com/media/sets/4628-1.jpg,13209
4629-1,Build and Play Box,2012,150,https://cdn.rebrickable.com/media/sets/4629-1.jpg,2621
4630-1,Build and Play Box,2012,1000,https://cdn.rebrickable.com/media/sets/4630-1.jpg,7336
463-1,"4 x 8 Plates, White",1966,8,https://cdn.rebrickable.com/media/sets/463-1.jpg,11915
4631-1,My First Build,2012,63,https://cdn.rebrickable.com/media/sets/4631-1.jpg,9450
4632-1,Building Plates,2012,3,https://cdn.rebrickable.com/media/sets/4632-1.jpg,13555
4635-1,Fun with Vehicles,2012,530,https://cdn.rebrickable.com/media/sets/4635-1.jpg,5017
4636-1,Police Building Set,2012,130,https://cdn.rebrickable.com/media/sets/4636-1.jpg,8218
4636204-1,Promotional Giveaway,2011,11,https://cdn.rebrickable.com/media/sets/4636204-1.jpg,14327
4637-1,Safari Building Set,2012,152,https://cdn.rebrickable.com/media/sets/4637-1.jpg,2057
464-1,"6 x 8 Plates, White",1966,6,https://cdn.rebrickable.com/media/sets/464-1.jpg,2017
4641-1,Speed Boat,2011,34,https://cdn.rebrickable.com/media/sets/4641-1.jpg,265961
4642-1,Fishing Boat,2011,65,https://cdn.rebrickable.com/media/sets/4642-1.jpg,132241
4643-1,Power Boat Transporter,2011,255,https://cdn.rebrickable.com/media/sets/4643-1.jpg,5619
4644-1,Marina,2011,298,https://cdn.rebrickable.com/media/sets/4644-1.jpg,4765
