partNumber,name,category,sourceCategory,material
40509pr0001,"Juniors Midifig, Jack Stone",minifigures,Minifigs,Plastic
40509pr0002,"Juniors Midifig, Res-Q - Female, with Open Face Helmet",minifigures,Minifigs,Plastic
40509pr0003,"Juniors Midifig, Res-Q - Open Faced Helmet without Sunglasses",minifigures,Minifigs,Plastic
40509pr0004,"Juniors Midifig, Res-Q - Open Faced Helmet and Sunglasses",minifigures,Minifigs,Plastic
40509pr0005,"Juniors Midifig, Police - Blue Legs, Black Jacket, Blue Helmet [Female]",minifigures,Minifigs,Plastic
40510pr0001,"Juniors Midifig, Aqua Res-Q Pilot with Closed Face Helmet",minifigures,Minifigs,Plastic
40510pr0002,"Juniors Midifig, Police - Black Legs, Black Jacket, White Helmet, Yellow Head",minifigures,Minifigs,Plastic
40510pr0003,"Juniors Midifig, Police - Black Legs, Black Jacket, White Helmet, Light Nougat Head",minifigures,Minifigs,Plastic
40512pr0001,"Juniors Midifig, Bank Robber with Red Legs and Black Hair",minifigures,Minifigs,Plastic
40512pr0002,"Juniors Midifig, Peter Parker",minifigures,Minifigs,Plastic
40513pr0001,"Juniors Midifig, Jack Stone",minifigures,Minifigs,Plastic
40513pr0002,"Juniors Midifig, Jack Stone - Orange Outfit",minifigures,Minifigs,Plastic
40513pr0003,"Juniors Midifig, Jack Stone - Black Jacket, Black Legs",minifigures,Minifigs,Plastic
40513pr0004,"Juniors Midifig, Jack Stone - Red Jacket, Blue Overalls and Blue Legs",minifigures,Minifigs,Plastic
40513pr0005,"Juniors Midifig, Jack Stone with Black Jacket, Blue Legs and Blue Vest",minifigures,Minifigs,Plastic
40513pr0006,"Juniors Midifig, Jack Stone, Blue Jacket, Blue Pants, Gray Shirt",minifigures,Minifigs,Plastic
40513pr0007,"Juniors Midifig, Jack Stone, Black Jacket, Blue Legs, Blue Belt with Pockets and Radio",minifigures,Minifigs,Plastic
40513pr0008,"Juniors Midifig, Jack Stone - Green Jacket",minifigures,Minifigs,Plastic
40513pr0009,"Juniors Midifig, Jack Stone, Gray Jacket, Blue legs",minifigures,Minifigs,Plastic
40513pr0010,"Juniors Midifig, Jack Stone, Black Jacket, Blue Legs, Blue Harness",minifigures,Minifigs,Plastic
