partNumber,name,category,sourceCategory,material
cardupn0001pr0154,"Trading Card, Harry Potter, Sticker - Godric Gryffindor (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0155,"Trading Card, Harry Potter, Sticker - Rowena Ravenclaw (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0156,"Trading Card, Harry Potter, Sticker - Rowena Ravenclaw",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0157,"Trading Card, Harry Potter, Sticker - Helga Hufflepuff",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0158,"Trading Card, Harry Potter, Sticker - Helga Hufflepuff (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0159,"Trading Card, Harry Potter, Sticker - Salazar Slytherin (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0160,"Trading Card, Harry Potter, Sticker - Salazar Slytherin (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0161,"Trading Card, Harry Potter, Sticker - Aragog",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0162,"Trading Card, Harry Potter, Sticker - Pixies (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0163,"Trading Card, Harry Potter, Sticker - Centaur",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0164,"Trading Card, Harry Potter, Sticker - Pixie",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0165,"Trading Card, Harry Potter, Sticker - Hungarian Horntail dragon",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0166,"Trading Card, Harry Potter, Sticker - Buckbeak (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0167,"Trading Card, Harry Potter, Sticker - Dobby",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0168,"Trading Card, Harry Potter, Sticker - Merperson",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0169,"Trading Card, Harry Potter, Sticker - Fawkes",technic,Gear Parts,Cardboard/Paper
